ω [1/fs],ω [ω_0],Re{n(ω)},Im{n(ω)}
1.7009977859519734,0.7224256610821778,0.0,-0.10558821242013328
1.708524324827867,0.7256222348037803,0.0,-0.10138379189824988
1.7160508637037606,0.7288188085253828,0.0,-0.09649897453251635
1.7235774025796546,0.7320153822469855,0.0,-0.0818043286516595
1.7311039414555482,0.735211955968588,0.0,-0.07317451114401297
1.738630480331442,0.7384085296901907,0.0,-0.06975009923704681
1.7461570192073357,0.7416051034117932,0.0,-0.05778358805487691
1.7536835580832293,0.7448016771333957,0.0,-0.04594498780116657
1.761210096959123,0.7479982508549982,0.0,-0.04153995918076546
1.7687366358350167,0.7511948245766008,0.0,-0.03261954174221988
1.7762631747109103,0.7543913982982033,0.0,-0.01948313141214871
1.783789713586804,0.7575879720198059,0.0,-0.012648012872055182
1.7913162524626975,0.7607845457414084,0.0,-0.005864937375604992
1.7988427913385912,0.763981119463011,0.0,0.006820197542760929
1.8063693302144852,0.7671776931846136,0.0,0.016361755292769408
1.8138958690903788,0.7703742669062161,0.0,0.022529962317335374
1.8214224079662726,0.7735708406278188,0.0,0.03372294195663753
1.8289489468421662,0.7767674143494213,0.0,0.045321110590858416
1.8364754857180599,0.7799639880710239,0.0,0.05232969734915167
1.8440020245939535,0.7831605617926264,0.0,0.061861366754608876
1.8515285634698473,0.7863571355142289,0.0,0.07441828825820948
1.859055102345741,0.7895537092358315,0.0,0.08319225219508426
1.8665816412216345,0.792750282957434,0.0,0.09163461547104251
1.874108180097528,0.7959468566790365,0.0,0.10410226651501898
1.8816347189734217,0.7991434304006391,0.0,0.1148911856363062
1.8891612578493158,0.8023400041222417,0.0,0.12323349671114998
1.8966877967252094,0.8055365778438442,0.0,0.1349633181552473
1.9042143356011032,0.8087331515654469,0.0,0.14744295174827593
1.9117408744769968,0.8119297252870494,0.0,0.1567110289069122
1.9192674133528904,0.815126299008652,0.0,0.1676032279711129
1.926793952228784,0.8183228727302545,0.0,0.18112423248638282
1.9343204911046779,0.821519446451857,0.0,0.19208931094137027
1.9418470299805715,0.8247160201734596,0.0,0.20257703103204935
1.949373568856465,0.8279125938950621,0.0,0.21646695509400687
1.9569001077323587,0.8311091676166646,0.0,0.22950922079963967
1.9644266466082523,0.8343057413382672,0.0,0.24042178143620427
1.9719531854841463,0.8375023150598698,0.0,0.2542467969138788
1.97947972436004,0.8406988887814724,0.0,0.26936450634644227
1.9870062632359338,0.843895462503075,0.0,0.2817355226179753
1.9945328021118274,0.8470920362246775,0.0,0.2954878939317631
2.002059340987721,0.8502886099462802,0.0,0.3124302872102283
2.009585879863615,0.8534851836678826,0.0,0.32734352564129227
2.0171124187395084,0.8566817573894852,0.0,0.3415797472521415
2.024638957615402,0.8598783311110877,0.0,0.36007996034956447
2.0321654964912956,0.8630749048326902,0.0,0.3786449200165576
2.0396920353671892,0.8662714785542928,0.0,0.39464655151280525
2.047218574243083,0.8694680522758953,0.0,0.4147548070301935
2.054745113118977,0.872664625997498,0.0,0.43836545816302624
2.0622716519948705,0.8758611997191005,0.0,0.458599319223835
2.069798190870764,0.879057773440703,0.0,0.4812986750235323
2.0773247297466577,0.8822543471623056,0.0,0.5128344386230785
2.0848512686225518,0.8854509208839083,0.0,0.5431938573718272
2.0923778074984454,0.8886474946055108,0.0,0.5726246851698502
2.099904346374339,0.8918440683271133,0.0,0.6253772450801867
2.1074308852502326,0.8950406420487158,0.013590771783481899,0.7055901590942167
2.114957424126126,0.8982372157703183,0.0874772550393119,0.7722007298403744
2.12248396300202,0.9014337894919209,0.17481643687399787,0.7804027912187114
2.1300105018779134,0.9046303632135234,0.22203080912629677,0.7620103489736211
2.1375370407538075,0.9078269369351261,0.25147460941956035,0.7606502325623093
2.145063579629701,0.9110235106567286,0.2890600681049925,0.7607765598327598
2.1525901185055947,0.9142200843783311,0.32032510230330136,0.7506792239475096
2.1601166573814883,0.9174166580999337,0.34176544843478057,0.7455926198889047
2.1676431962573823,0.9206132318215364,0.3670311293650358,0.7446879191460263
2.175169735133276,0.923809805543139,0.39217972530310385,0.7377252083041235
2.1826962740091695,0.9270063792647414,0.4103396421816246,0.7312659829305076
2.190222812885063,0.9302029529863439,0.4293091799406632,0.7293131816355147
2.1977493517609568,0.9333995267079465,0.45038490686393484,0.7242968816279064
2.2052758906368504,0.936596100429549,0.46688796475168837,0.7175183199199141
2.212802429512744,0.9397926741511515,0.4821155220709813,0.7144360775682368
2.220328968388638,0.9429892478727543,0.4999081281176207,0.7106373402644548
2.2278555072645316,0.9461858215943567,0.5153445084443423,0.7041851596397914
2.2353820461404252,0.9493823953159592,0.5283248652337453,0.7000579497180827
2.2429085850163193,0.952578969037562,0.5433312470972945,0.6968663614846817
2.250435123892213,0.9557755427591645,0.5578190810638035,0.691113509936359
2.2579616627681065,0.9589721164807671,0.5695190214910993,0.6861886910390343
2.265488201644,0.9621686902023695,0.582204219087341,0.683096042862103
2.2730147405198937,0.965365263923972,0.5956458221928765,0.6781788108042784
2.2805412793957873,0.9685618376455746,0.6066633707290268,0.6728088144976008
2.288067818271681,0.9717584113671771,0.6175207744712734,0.6694449335971167
2.2955943571475745,0.9749549850887796,0.6297603699886756,0.6652974518784662
2.303120896023468,0.9781515588103822,0.6403971882152822,0.6598601722438833
2.310647434899362,0.9813481325319848,0.6499352791763139,0.6560204451870846
2.318173973775256,0.9845447062535874,0.6608640669539477,0.6524290094643108
2.32570051265115,0.9877412799751901,0.6711905977876576,0.6472518258644667
2.3332270515270435,0.9909378536967927,0.6798854329292428,0.6429052145345515
