ω [ω_0],θ [deg]
0.8569974313275885,20.38045343246456
0.8612058947659482,20.276470594224783
0.8636254477477583,19.847435253757922
0.867848188379881,19.74683660542612
0.8720735784614525,19.647212498018835
0.8745635085588762,19.2252921871676
0.878802450428039,19.128941820873525
0.8830438535845411,19.03351675982375
0.8856021313434355,18.61858851304179
0.8898563949954725,18.526329574010006
0.8924710027422135,18.116051673355855
0.8967376024284849,18.026887654148663
0.9010063532419067,17.938568297977202
0.9052772247521572,17.85108207282229
0.9079663585234135,17.44976154851122
0.9122488045934336,17.365234923637953
0.9165332175396731,17.281498371816642
0.9192849812997472,16.886791123944043
0.923580371388406,16.8059153316233
0.9278775846436921,16.72578848945524
0.9306901920124725,16.337566673115173
0.9349978135683907,16.26020470831196
0.9393071240796197,16.183552440239186
0.9421788461884918,15.80168814024721
0.9464980234386783,15.727707816500308
0.9508187643505824,15.654399738944932
0.9551410477037453,15.581755022927338
0.9580780205186352,15.20803919063533
0.962409559370406,15.137949583132857
0.9667425255122316,15.068488159492212
0.9697349464984835,14.700823265632023
0.9740766834935727,14.63383097156616
0.9784197403419738,14.567433324665204
0.9827640995454958,14.501622618453846
0.9858174266648285,14.141682766480752
0.9901700126644267,14.078233771521411
0.9945238023010179,14.015340229337996
0.998878779835808,13.952995027397302
1.0019907722633055,13.600542516658743
1.0063534664137679,13.540456776969965
1.0107172577554984,13.480889814932793
1.0150821321381727,13.421835067886205
1.0182506535301943,13.076639104971322
1.0226227659676095,13.019746518161744
1.0269958781005,12.963338391533636
1.0313699772124387,12.907408671265836
1.0345929904351865,12.56924543891926
1.0389738785535387,12.515385302826756
1.0433556770704522,12.461977514521637
1.047738374563658,12.409016490879104
1.0510139366486433,12.077669162364232
1.055403001647724,12.026689654905342
1.0597928952601867,11.976132444203355
1.0641836072316224,11.925992382419446
1.068575127474266,11.876264403759611
1.0719065482524912,11.553008771909404
1.0763039856573504,11.50516062508491
1.080702167572927,11.457701904870197
1.0851010849461649,11.410627940669427
1.088481133146191,11.093723011557845
1.092885600128819,11.048450194962781
1.0972907439791146,11.003540851749504
1.1016965565776928,10.958990676716338
1.1061030299333094,10.914795431512724
1.109534576804645,10.605418531631864
1.1139462084754173,10.56293382010222
1.1183584477832,10.520784313874362
1.1227712875643625,10.478966106457271
1.1271847207664856,10.43747535111818
1.130665605146092,10.135332822788957
1.1350838336484466,10.095467562906109
1.1395026073947032,10.055911463744025
1.1439219200663113,10.016660980089009
1.1483417654412216,9.977712620150575
1.1518699483106427,9.682524824328414
1.156294251939713,9.645122117972438
1.160719044565081,9.608004562615536
1.1651443206156586,9.57116894053815
